time_s,ref_speed_kmh,segment,expected_phase,segment_desc
6.7,6.04,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
6.8,6.13,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
6.9,6.22,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
7.0,6.31,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
7.1,6.40,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
7.2,6.49,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
7.3,6.58,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
7.4,6.67,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
7.5,6.76,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
7.6,6.85,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
7.7,6.94,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
7.8,7.03,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
7.9,7.12,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
8.0,7.21,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
8.1,7.30,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
8.2,7.39,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
8.3,7.48,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
8.4,7.57,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
8.5,7.66,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
8.6,7.75,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
8.7,7.84,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
8.8,7.93,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
8.9,8.02,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
9.0,8.11,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
9.1,8.20,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
9.2,8.29,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
9.3,8.38,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
9.4,8.47,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
9.5,8.56,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
9.6,8.65,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
9.7,8.74,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
9.8,8.83,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
9.9,8.92,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
10.0,9.01,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
10.1,9.10,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
10.2,9.19,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
10.3,9.28,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
10.4,9.37,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
10.5,9.46,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
10.6,9.55,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
10.7,9.64,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
10.8,9.73,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
10.9,9.82,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
11.0,9.91,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
11.1,10.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
11.2,10.09,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
11.3,10.18,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
11.4,10.27,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
11.5,10.36,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
11.6,10.45,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
11.7,10.54,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
11.8,10.63,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
11.9,10.72,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
12.0,10.81,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
12.1,10.90,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
12.2,10.99,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
12.3,11.08,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
12.4,11.17,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
12.5,11.26,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
12.6,11.35,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
12.7,11.44,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
12.8,11.53,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
12.9,11.62,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
13.0,11.71,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
13.1,11.80,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
13.2,11.89,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
13.3,11.98,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
13.4,12.07,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
13.5,12.16,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
13.6,12.25,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
13.7,12.34,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
13.8,12.43,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
13.9,12.52,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
14.0,12.61,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
14.1,12.70,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
14.2,12.79,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
14.3,12.88,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
14.4,12.97,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
14.5,13.06,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
14.6,13.15,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
14.7,13.24,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
14.8,13.33,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
14.9,13.42,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
15.0,13.51,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
15.1,13.60,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
15.2,13.69,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
15.3,13.78,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
15.4,13.87,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
15.5,13.96,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
15.6,14.05,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
15.7,14.14,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
15.8,14.23,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
15.9,14.32,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
16.0,14.41,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
16.1,14.50,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
16.2,14.59,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
16.3,14.68,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
16.4,14.77,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
16.5,14.86,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
16.6,14.95,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
16.7,15.05,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
16.8,15.14,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
16.9,15.23,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
17.0,15.32,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
17.1,15.41,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
17.2,15.50,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
17.3,15.59,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
17.4,15.68,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
17.5,15.77,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
17.6,15.86,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
17.7,15.95,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
17.8,16.04,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
17.9,16.13,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
18.0,16.22,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
18.1,16.31,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
18.2,16.40,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
18.3,16.49,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
18.4,16.58,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
18.5,16.67,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
18.6,16.76,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
18.7,16.85,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
18.8,16.94,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
18.9,17.03,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
19.0,17.12,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
19.1,17.21,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
19.2,17.30,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
19.3,17.39,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
19.4,17.48,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
19.5,17.57,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
19.6,17.66,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
19.7,17.75,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
19.8,17.84,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
19.9,17.93,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
20.0,18.02,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
20.1,18.11,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
20.2,18.20,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
20.3,18.29,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
20.4,18.38,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
20.5,18.47,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
20.6,18.56,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
20.7,18.65,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
20.8,18.74,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
20.9,18.83,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
21.0,18.92,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
21.1,19.01,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
21.2,19.10,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
21.3,19.19,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
21.4,19.28,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
21.5,19.37,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
21.6,19.46,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
21.7,19.55,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
21.8,19.64,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
21.9,19.73,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
22.0,19.82,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
22.1,19.91,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
22.2,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
22.3,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
22.4,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
22.5,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
22.6,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
22.7,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
22.8,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
22.9,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
23.0,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
23.1,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
23.2,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
23.3,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
23.4,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
23.5,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
23.6,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
23.7,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
23.8,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
23.9,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
24.0,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
24.1,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
24.2,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
24.3,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
24.4,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
24.5,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
24.6,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
24.7,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
24.8,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
24.9,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
25.0,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
25.1,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
25.2,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
25.3,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
25.4,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
25.5,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
25.6,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
25.7,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
25.8,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
25.9,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
26.0,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
26.1,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
26.2,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
26.3,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
26.4,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
26.5,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
26.6,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
26.7,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
26.8,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
26.9,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
27.0,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
27.1,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
27.2,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
27.3,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
27.4,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
27.5,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
27.6,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
27.7,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
27.8,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
27.9,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
28.0,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
28.1,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
28.2,20.00,1,DRIVE,発進: クリープ→緩加速(低率p10級)・低速巡航20
28.3,20.17,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
28.4,20.34,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
28.5,20.51,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
28.6,20.68,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
28.7,20.85,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
28.8,21.02,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
28.9,21.19,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
29.0,21.36,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
29.1,21.53,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
29.2,21.70,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
29.3,21.87,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
29.4,22.04,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
29.5,22.21,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
29.6,22.38,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
29.7,22.55,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
29.8,22.72,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
29.9,22.89,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
30.0,23.06,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
30.1,23.23,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
30.2,23.40,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
30.3,23.57,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
30.4,23.74,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
30.5,23.91,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
30.6,24.08,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
30.7,24.25,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
30.8,24.42,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
30.9,24.58,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
31.0,24.75,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
31.1,24.92,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
31.2,25.09,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
31.3,25.26,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
31.4,25.43,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
31.5,25.60,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
31.6,25.77,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
31.7,25.94,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
31.8,26.11,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
31.9,26.28,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
32.0,26.45,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
32.1,26.62,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
32.2,26.79,2,DRIVE,中率加速(p50)→巡航47(WLTP Low/Mid代表)
